id,title,date,location,establishment_type,casualties,property_loss,cause,description,control_extinguishment,suppression_mitigation,evacuation_rescue,source_type,hazard_category
11,Incident 11: Virudhunagar Firecracker Factory Explosions - Tamil Nadu,2023 (Multiple incidents),"Virudhunagar, Tamil Nadu",Firecracker manufacturing units,11+ killed (single incident); 91 killed across 36 regional accidents in 2023-24 | Multiple injured,"Approx. Rs 1-2 Crore per incident | Chemical stockpiles, sheds, processing machinery",Friction-induced ignition during raw chemical mixing without safety gear.,"Primary explosion triggered chain detonations through stored pyrotechnic compounds, obliterating individual working sheds across a wide radius.",Regional fire stations deployed specialized chemical fire engines using water fog and foam.,Surrounding chemical sheds were cooled with water streams to stop thermal propagation; PESO suspended operating licenses.,Emergency personnel evacuated workers from adjacent units and rushed critically burned survivors to government hospitals.,domestic_india,structural_fire
12,Incident 12: Madurai Railway Station Train Fire - Tamil Nadu,2023,"Madurai Railway Station, Tamil Nadu",Passenger train compartment (stationary coach),10 killed | 20+ injured,"Approx. Rs 1-2 Crore | Railway coach, passenger belongings",Suspected illegal gas cylinder usage inside coach or electrical short circuit.,"Fire erupted inside a parked coach and spread rapidly along interior fabrics and wood finishes, trapping passengers inside narrow doorways.",Railway protection fire units and local municipal fire services extinguished the blaze in 2 hours.,The burning coach was detached from the rest of the train rake to prevent spread along the platform track.,Rescuers and passengers smashed coach windows and forced open jammed side doors to extricate trapped occupants.,domestic_india,structural_fire
13,Incident 13: Pune Chemical Factory Fire - Maharashtra,2023,"Pune, Maharashtra",Chemical factory (sanitizer manufacturing unit),18 killed | Many injured or missing,"Approx. Rs 10-15 Crore | Chemical plant equipment, flammable alcohol inventory, structure",Flammable chemical ignition during industrial processing.,"High alcohol content triggered multiple massive explosions, producing intense heat and thick black smoke visible for kilometers.","15+ fire tenders, foam crash tenders, and MIDC fire response units doused the fire over 4 hours.",Blanket layer of firefighting foam applied over liquid alcohol pools to cut off vapor ignition; industrial zone power shut off.,Emergency personnel evacuated neighboring industrial units and conducted search-and-rescue within the gutted factory interior.,domestic_india,structural_fire
14,"Incident 14: TRP Game Zone Fire - Rajkot, Gujarat",25 May 2024,"Kalavad Road, Rajkot, Gujarat",Temporary amusement park/gaming zone (tin-roofed structure),32 killed (including 9 children) | Many injured,"Approx. Rs 5-10 Crore | Amusement park infrastructure, gaming gear, 3,000L fuel storage","Welding sparks landing on combustible materials near illegal diesel (2,000L) and petrol (1,000L) storage tanks. Facility operated without a fire NOC.",Fire ignited in an extension construction zone and spread explosively through stored fuels. The single exit on the first floor caused a fatal bottleneck.,10+ fire tenders sprayed high-pressure streams for hours to extinguish the inferno and cool glowing metal frameworks.,Fuel tanks were isolated and cooled; Gujarat High Court took suo motu cognizance; SIT arrested 9 owners/officials.,Hundreds escaped through the ground floor entrance; firefighters cut open collapsed tin roof sheets to recover trapped victims.,domestic_india,structural_fire
15,Incident 15: Vivek Vihar Newborn Baby Care Hospital Fire - East Delhi,26 May 2024,"Vivek Vihar, East Delhi",Private neonatal hospital,7 newborn infants killed | 12 rescued | Multiple injured,"Approx. Rs 50 Lakh - 1 Crore | Incubators, neonatal equipment, structure","Electrical short circuit in basement, exacerbated by illegal oxygen cylinder refilling.","5 out of 27 oxygen cylinders on site exploded, triggering high-intensity flames and thick smoke that trapped infants in the neonatal ward. Lack of fire exits violated NBC 2016.",16 fire tenders fought the blaze for 3-4 hours following cylinder explosions.,Unexploded oxygen cylinders safely removed and cooled; electrical grid disconnected; owner and duty doctor arrested.,"Local residents and firefighters climbed ladders and broke rear windows, carrying 12 infants out to safety.",domestic_india,structural_fire
16,Incident 16: Jhansi Medical College NICU Fire - Uttar Pradesh,November 2024,"Jhansi, Uttar Pradesh",Maharani Laxmi Bai Medical College - Neonatal ICU,10 newborn infants killed | Several injured,"Approx. Rs 1-2 Crore | NICU incubators, life support machinery, ward structure",Electrical short circuit inside the oxygen-enriched NICU.,"Oxygen-rich atmosphere led to rapid fire spread. Fire extinguishers were non-functional and emergency exits locked, trapping infants and staff.",Fire tenders and hospital hydrants extinguished the blaze in 1-2 hours.,Electrical lines and central oxygen manifold shut off immediately; UP government ordered judicial probes.,Staff and rescuers smashed glass window panes; 37+ infants were successfully evacuated and transferred to adjacent pediatric wards.,domestic_india,structural_fire
17,Incident 17: Krishnagiri Firecracker Factory Explosion - Tamil Nadu,2024,"Krishnagiri, Tamil Nadu",Fireworks manufacturing factory,8 killed | Several injured,"Approx. Rs 1-2 Crore | Factory machinery, chemical stock, building structure",Explosion during chemical mixing due to unsafe handling of pyrotechnic materials.,"Primary blast tore through processing rooms, causing structural collapse and triggering secondary explosions in raw chemical storage.",Fire engines deployed water fog and foam to control chemical fires across the complex.,Leftover chemical dumps cooled to prevent secondary blasts; site cordoned by police for PESO inspection.,Emergency crews used earthmovers to clear collapsed masonry and pull out injured workers.,domestic_india,structural_fire
18,"Incident 18: Neerathilingam Fireworks Factory Explosion - Sivakasi, Tamil Nadu",19 February 2025,"Sivakasi, Tamil Nadu",Fireworks manufacturing factory,Multiple workers killed | Several injured with severe burns,"Approx. Rs 50 Lakh - 1 Crore | Machinery, chemical stockpiles, sheds",Friction-induced ignition during mixing of potassium nitrate and aluminum powder.,"Blast occurred without warning in the mixing section, spreading rapidly through adjacent dust-laden sheds and stored materials.",Regional fire tenders doused the fire using high-pressure hose lines over several hours.,Unreacted chemical powders neutralized; PESO sealed the facility for operating without mandatory safety gear.,Survivors fled into open ground; rescue teams extricated burn victims and dispatched them to Sivakasi Government Hospital.,domestic_india,structural_fire
19,"Incident 19: SBL Energy Limited Factory Explosion & Fire - Nagpur, Maharashtra",01 March 2026,"Raulgaon Village, Katol Tehsil, Nagpur District, Maharashtra",Explosives manufacturing factory (gunpowder and mining detonators),25 killed | 23+ critically injured,"Approx. Rs 20-30 Crore | 5 factory buildings severely damaged/collapsed, explosives inventory",Safety lacunae and technical failures during detonator filling and gunpowder processing.,Massive explosion in Building No. 16(B) collapsed structures and scattered debris across the complex. Charcoal-gunpowder fires burned for hours.,"NDRF, SDRF, and MIDC fire services deployed multiple fire engines, extinguishing the blaze after 4-5 hours.",Bomb disposal and PESO units cleared unexploded detonators; 9 company directors arrested under culpable homicide charges.,Heavy machinery lifted concrete slabs to extract victims; DNA matching used to identify severely charred bodies.,domestic_india,structural_fire
20,Incident 20: Nagpur Umred MIDC Aluminium Factory Explosion - Maharashtra,April 2025,"Umred MIDC Area, Nagpur, Maharashtra",Aluminium foil and powder manufacturing factory,5 killed | 8 severely injured | 87 total present,"Approx. Rs 5-8 Crore | Machinery, aluminium inventory, building structure",Flammable gas build-up in the polished tubing unit igniting reactive aluminium powder.,"Ground shook as explosion struck; reactive aluminium powder rendered standard water-based fire suppression ineffective, allowing extended burning.","Water sprays avoided; firefighters used dry chemical powder, sand blankets, and controlled smothering over long hours.",Gas lines isolated; processing plant sealed by industrial safety inspectors; FIR registered by police.,82 surviving workers evacuated to open zones; rescue teams recovered injured workers from the destroyed tubing unit.,domestic_india,structural_fire
21,"Incident 21: Sigachi Industries Pharmaceutical Factory Blast & Fire - Sangareddy, Telangana",30 June 2025,"Sangareddy Industrial Area, Telangana",Pharmaceutical factory (spray dryer unit),36-40+ killed | 36 hospitalized with severe burns,"Approx. Rs 50-100 Crore | Pharmaceutical plant, spray dryer unit, chemical inventory",Overheating in spray dryer unit igniting fine powder excipients and chemical solvents.,Massive pressure wave destroyed the dryer unit and adjoining structures. Intense chemical heat and toxic fumes caused heavy fatalities.,12+ fire tenders and industrial chemical engines fought the fire for over 6 hours.,Chemical feed valves shut off; government closed plant for 90 days; special medical teams deployed for DNA identification.,Over 100 workers fled or were pulled out by emergency crews clearing structural wreckage.,domestic_india,structural_fire
22,"Incident 22: Air India Flight A1171 Crash & Fire - Ahmedabad, Gujarat",12 June 2025,"BJ Medical College Hostel Block, Meghani Nagar, Ahmedabad, Gujarat",Aviation disaster (Boeing 787-8 Dreamliner & urban hostel buildings),241 on-board killed | 19+ ground deaths | 1 survivor | 67 ground injuries,"Several Thousand Crore | Aircraft, 5 college buildings, residential hostels","Dual engine power loss 32-40 seconds post-takeoff, causing crash impact and immediate explosion of fully laden fuel tanks.","Aircraft struck hostel block 1.7 km from runway, creating a massive fireball across a 300 x 120 meter area and destroying five buildings.","300+ firefighters, 60 fire vehicles, and 20 water bowsers with specialized foam tenders from Vadodara, Gandhinagar, ONGC, and Civil Defence deployed.","Entire sector cordoned by Army, BSF, CRPF, and NDRF; city power/gas lines isolated; AAIB secured CVR/FDR black boxes.",Rescue teams saved sole aircraft survivor (Seat 11A); evacuated 50+ injured medical students from burning hostel ruins.,domestic_india,structural_fire
23,Incident 23: Chandni Chowk Mahalaxmi Market Fire - Delhi,2023,"Bhagirath Palace, Chandni Chowk, New Delhi",Wholesale commercial market,No deaths reported | No major injuries,"Approx. Rs 50-100 Crore | 150+ shops, commercial inventory, building structures","Electrical short circuit in congested, densely packed market.",Fire spread rapidly through closely built shops holding electrical goods and paper. Narrow Old Delhi alleys prevented large fire engine access.,Over 40 fire tenders deployed; small fire vehicles and long hose lines laid through narrow lanes; dousing took over 12 hours.,Area grid power disconnected; neighboring heritage structures cooled continuously to halt fire spread.,Local shopkeepers and shoppers evacuated through narrow lanes early; no trapped casualties reported.,domestic_india,structural_fire
24,Incident 24: Mumbai Hotel Fire (Santacruz Area) - Maharashtra,2023,"Santacruz, Mumbai, Maharashtra",Hotel building,3 killed | 5 injured,"Approx. Rs 1-2 Crore | Hotel rooms, interior furnishings, structure",Short circuit on lower floor.,Fire traveled upward through stairwell and ducting; combustible furnishings generated dense smoke that trapped hotel guests in upper rooms.,"Mumbai Fire Brigade deployed 8 fire engines and water tankers, putting out the fire in 2-3 hours.",Electricity cut off; building sealed for operating without updated fire safety clearance.,Firefighters used ladders and smoke extractors to clear staircases and rescue trapped guests from upper windows.,domestic_india,structural_fire
25,Incident 25: Kakinada Firecracker Factory Explosion - Andhra Pradesh,2024-25,"Kakinada, Andhra Pradesh",Fireworks manufacturing factory,21 killed | Several injured,"Approx. Rs 2-3 Crore | Factory buildings, fireworks inventory, machinery",Massive chemical explosion during fireworks assembly.,"Primary explosion caused chain detonations through chemical sheds, collapsing structures across the factory complex.",Fire services deployed multiple tenders using foam and water sprays to suppress chemical fires over several hours.,Unexploded pyrotechnic materials sprayed with retarding agents; police filed criminal cases under Explosives Act.,Heavy earthmovers were used to dig through debris and extricate trapped workers.,domestic_india,structural_fire
26,Incident 26: Sivakasi Firecracker Factory Fire - Tamil Nadu,July 2025,"Sivakasi, Tamil Nadu",Firecracker manufacturing cluster,5 killed | 4 injured,"Approx. Rs 50 Lakh - 1 Crore | Manufacturing unit, chemical stockpiles",Chemical ignition during pyrotechnic production.,"Flames spread quickly through raw chemical storage sheds in the fireworks cluster, threatening adjacent units.","Local fire tenders reached the site promptly, bringing the fire under control within 2 hours.",Site cordoned off; PESO safety officers launched investigations into unit safety standards.,Workers from adjoining sheds were evacuated; injured workers were dispatched to nearby burn centers.,domestic_india,structural_fire
27,Incident 27: Bhandara District Hospital NICU Fire - Maharashtra,09 January 2021 (Reference Precedent Entry),"Bhandara, Maharashtra",Government district hospital NICU ward,10 newborn infants killed | 7 rescued,"Approx. Rs 1-2 Crore | Incubators, NICU machinery, ward interior",Electrical short circuit in radiant warmer/AC unit.,"Midnight fire in sealed NICU. Oxygen enrichment led to dense toxic smoke development, suffocating neonates before intervention was possible.",Hospital staff and fire brigade used portable extinguishers and hydrants to douse the fire within an hour.,Power cut off; Maharashtra government ordered mandatory fire safety audits for all civil hospitals statewide.,"Hospital staff saved 7 infants, but dense smoke blocked entry into the inner ward, resulting in 10 deaths.",domestic_india,structural_fire
28,Incident 28: Delhi Anaj Mandi Factory Fire - Delhi,08 December 2019 (Reference Precedent Entry),"Anaj Mandi, North Delhi",Illegal factory-cum-dormitory in residential building,43 killed | 16 injured,"Approx. Rs 3-5 Crore | Factory equipment, raw inventory, building structure",Short circuit in illegal handbag/packaging factory running inside a residential zone.,"Early morning fire trapped sleeping migrant workers inside locked, windowless floors filled with combustible materials.","Over 30 fire tenders and 150 firefighters operated via narrow alleys, dousing the fire in 4 hours.",Power cut off; municipal authorities initiated sealing drives against illegal industrial units in residential areas.,Firefighters carried unconscious victims down narrow staircases and cut window iron grills to rescue over 60 people.,domestic_india,structural_fire
29,Incident 29: Uphaar Cinema Fire - New Delhi,13 June 1997 (Historic Reference Entry),"Green Park, New Delhi",Cinema hall (Uphaar Cinema),59 killed | 100+ seriously injured,"Approx. Rs 5 Crore (1997 value) | Cinema structure, equipment, auditorium",Electrical transformer fire in basement generator room; compounded by locked emergency exits and unauthorized shops.,"Toxic carbon monoxide smoke filled the auditorium during a movie screening; locked exits trapped patrons, predominantly in the balcony section.",Delhi Fire Service deployed multiple fire engines and doused the transformer and lobby fire within 2 hours.,Power isolated; landmark legal battles led to major revisions of National Building Code regulations for public assembly spaces.,Firefighters broke open locked exit doors and evacuated hundreds of asphyxiated patrons to nearby hospitals.,domestic_india,structural_fire
30,Incident 30: Kollam Puttingal Temple Fireworks Fire - Kerala,10 April 2016 (Historic Reference Entry),"Paravur, Kollam, Kerala",Temple grounds pyrotechnic storage,111 killed | 350+ injured,"Approx. Rs 10-15 Crore | Temple structures, nearby buildings, festival equipment",A stray fireworks shell landed on a concrete storeroom holding tons of illegally stored pyrotechnics during a festival competition.,"Explosive blast collapsed the storeroom and nearby concrete structures, sending debris flying into thousands of festival attendees.","Fire engines, police, Indian Navy, and IAF helicopters deployed to extinguish residual fires across destroyed buildings.",Bomb disposal squads neutralized unexploded pyrotechnics; strict ban enforced on unauthorized competitive fireworks displays.,"Local residents, NDRF, and emergency services cleared concrete rubble with JCBs to rescue hundreds of trapped victims.",domestic_india,structural_fire
31,"Incident 31: AMRI Hospital Fire - Kolkata, West Bengal",09 December 2011 (Historic Reference Entry),"Dhakuria, Kolkata, West Bengal",Private multi-speciality hospital,93-95 killed | 100+ injured,"Approx. Rs 20-30 Crore | Medical infrastructure, equipment, hospital building",Short circuit igniting illegally stored flammable materials in basement car park; central AC distributed carbon monoxide throughout upper floors.,"Fire broke out at 3 AM; toxic smoke circulated through the central AC ducting, suffocating bedridden patients in their sleep. Fire brigade response was severely delayed.",25+ fire tenders fought the fire for over 5 hours; delayed response exacerbated total damage.,Central AC system turned off; hospital license canceled and board members arrested for negligence.,Local youths scaled building pipes and broke window glasses; firefighters used hydraulic sky-ladders to evacuate patients.,domestic_india,structural_fire
32,"Incident 33: Dabwali Tent Fire Tragedy - Mandi Dabwali, Haryana",23 December 1995,"Mandi Dabwali, Sirsa District, Haryana",Temporary synthetic marriage/school function tent enclosure,540 killed (mostly school children and parents) | 160+ injured,"Approx. Rs 2-3 Crore (1995 value) | Structural canopy, furniture, public property","Short circuit in an electric generator set, igniting the synthetic cloth tent canopy.","Burning synthetic canopy collapsed on over 1,500 people inside a walled enclosure with only one single 4-foot narrow exit gate, causing a mass stampede and burn fatalities within 15 minutes.","Fire engines from nearby towns arrived; however, the combustible canopy burned completely within minutes.",Power supply isolated; landmark judicial commission established strict guidelines for temporary public gathering structures.,"Local citizens broke through boundary walls; survivors were transported in private trucks and cars to hospitals in Sirsa, Bathinda, and Punjab.",domestic_india,structural_fire
33,Incident 34: Kumbakonam School Fire - Tamil Nadu,16 July 2004,"Kumbakonam, Thanjavur District, Tamil Nadu",Sri Krishna Aided Primary School (thatched roof school building),94 children killed | 21 injured,"Approx. Rs 50 Lakh - 1 Crore | School building, classrooms, furniture",Sparks from open-fire midday meal thatched kitchen igniting the attached thatched roof of first-floor classrooms.,The thatched roof caught fire and collapsed onto 900 primary school children packed into narrow classrooms served by a single 4-foot staircase.,Fire service alerted at 11:00 AM; tenders arrived within minutes and doused the flames using high-pressure hose lines.,Complete policy ban imposed on thatched roofs in schools nationwide; strict NBC compliance enforced for educational institutions.,"Local residents and teachers smashed brick walls and windows, pulling dozens of children out before the burning roof collapsed.",domestic_india,structural_fire
34,Incident 35: Meerut Victoria Park Brand India Fair Fire - Uttar Pradesh,10 April 2006,"Victoria Park, Meerut, Uttar Pradesh",Air-conditioned consumer trade fair tent complex,57-100 killed | 150+ injured,"Approx. Rs 10-15 Crore | Consumer stalls, synthetic enclosures, electronics, merchandise",Electrical short circuit in air-conditioning ducting or consumer stall.,"Three interconnected 100-meter air-conditioned synthetic tents caught fire; exit gates were restricted for ticket checking, trapping thousands inside a blazing synthetic tunnel.","20+ fire tenders rushed to the scene, extinguishing the inferno in 2 hours.",Power cut off; ban enforced on synthetic enclosed trade fair structures lacking multi-point emergency exits.,Trapped visitors used keys and pocket knives to cut open synthetic tent walls; rescuers carried severe burn victims to Meerut Medical College.,domestic_india,structural_fire
35,"Incident 36: Stephen Court Building Fire - Park Street, Kolkata, West Bengal",23 March 2010,"Park Street, Kolkata, West Bengal",Heritage multi-storey commercial-cum-residential building,42 killed | 30+ injured,"Approx. Rs 10-20 Crore | Commercial offices, restaurants, residential flats, structure",Electrical short circuit in lift shaft / server unit on the 5th floor.,"Fire engulfed upper floors rapidly; a locked roof gate prevented occupants from escaping upward, forcing some to jump from windows.",40+ fire tenders and hydraulic ladders operated for over 6 hours to extinguish the blaze.,Mains power supply isolated; structural stability testing conducted; criminal charges filed against building owners.,"Firefighters rescued dozens using hydraulic skylifts and fire escapes, though locked doors hindered roof evacuation.",domestic_india,structural_fire
36,"Incident 37: Carlton Towers Fire - Bengaluru, Karnataka",23 February 2010,"Old Airport Road, Bengaluru, Karnataka",Multi-storey commercial office complex,9 killed | 70 injured,"Approx. Rs 5-10 Crore | Commercial offices, IT infrastructure, building interior",Short circuit in lift service shaft on the 2nd floor.,"Thick smoke raced up the vertical lift shaft and filled stairwells, blinding office workers who suffocated or jumped in panic.",15+ fire tenders doused the fire in 2-3 hours using high-pressure hose systems.,"Building sealed for safety violations, inspiring the establishment of civic fire safety advocacy groups (Beyond Carlton).",Firefighters used turntable ladders to rescue over 60 people from windows; bystanders used bedsheets and cushions to catch jumpers.,domestic_india,structural_fire
37,"Incident 38: Takshashila Arcade Coaching Centre Fire - Surat, Gujarat",24 May 2019,"Sarthana Area, Surat, Gujarat",Multi-storey commercial complex with illegal makeshift terrace dome,22 students killed | 19 injured,"Approx. Rs 2-5 Crore | Coaching centre, commercial property, roof structure",Electrical short circuit in ground-floor air conditioner compressor unit.,"Fire consumed the single wooden staircase and rubber tires stored on the roof, trapping 50-70 students in the top-floor coaching class.",19 fire tenders and 2 hydraulic platforms extinguished the fire within 1 hour.,Statewide shutdown and audit ordered for all private coaching centers in Gujarat; negligent fire officials suspended and builders arrested.,Hydraulic platforms rescued students; local bystanders caught students jumping from upper windows using makeshift nets and ladders.,domestic_india,structural_fire
38,"Incident 39: Arpit Palace Hotel Fire - Karol Bagh, New Delhi",12 February 2019,"Karol Bagh, New Delhi",5-storey hotel with illegal rooftop canopy,17 killed | 11 injured,"Approx. Rs 3-5 Crore | Hotel rooms, wooden paneling, roof structure",Electrical short circuit in a room air conditioner unit.,Highly combustible wooden wall paneling in corridors allowed smoke and fire to trap sleeping guests; emergency exits were locked or hidden.,"25 fire tenders fought the blaze, bringing it under control in 3 hours.",Delhi Government revoked fire NOCs for hotels with illegal rooftop kitchens or combustible fiber structures.,Hydraulic platforms rescued 35 guests through upper windows; firefighters broke through locked doors to extract trapped survivors.,domestic_india,structural_fire
